Episode 1 | Reward: -220 | Steps: 4 | Status: FAILED ❌
Episode 2 | Reward: -240 | Steps: 8 | Status: FAILED ❌
Episode 3 | Reward: -225 | Steps: 5 | Status: FAILED ❌
Episode 4 | Reward: -295 | Steps: 19 | Status: FAILED ❌
Episode 5 | Reward: -245 | Steps: 9 | Status: FAILED ❌
Episode 6 | Reward: -265 | Steps: 13 | Status: FAILED ❌
Episode 7 | Reward: -320 | Steps: 24 | Status: FAILED ❌
Episode 8 | Reward: -230 | Steps: 6 | Status: FAILED ❌
Episode 9 | Reward: -470 | Steps: 54 | Status: FAILED ❌
Episode 10 | Reward: -265 | Steps: 13 | Status: FAILED ❌
Episode 11 | Reward: 15 | Steps: 37 | Status: SUCCESS ✅
Episode 12 | Reward: -240 | Steps: 8 | Status: FAILED ❌
Episode 13 | Reward: -445 | Steps: 49 | Status: FAILED ❌
Episode 14 | Reward: 140 | Steps: 12 | Status: SUCCESS ✅
Episode 15 | Reward: 160 | Steps: 8 | Status: SUCCESS ✅
Episode 16 | Reward: 70 | Steps: 26 | Status: SUCCESS ✅
Episode 17 | Reward: 125 | Steps: 15 | Status: SUCCESS ✅
Episode 18 | Reward: -5 | Steps: 41 | Status: FAILED ❌
Episode 19 | Reward: 145 | Steps: 11 | Status: SUCCESS ✅
Episode 20 | Reward: 10 | Steps: 38 | Status: SUCCESS ✅
Episode 21 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 22 | Reward: 130 | Steps: 14 | Status: SUCCESS ✅
Episode 23 | Reward: 155 | Steps: 9 | Status: SUCCESS ✅
Episode 24 | Reward: 100 | Steps: 20 | Status: SUCCESS ✅
Episode 25 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 26 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 27 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 28 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 29 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 30 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 31 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 32 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 33 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 34 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 35 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 36 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 37 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 38 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 39 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 40 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 41 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 42 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 43 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 44 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 45 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 46 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 47 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 48 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 49 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 50 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 51 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 52 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 53 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 54 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 55 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 56 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 57 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 58 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 59 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 60 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 61 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 62 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 63 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 64 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 65 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 66 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 67 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 68 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 69 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 70 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 71 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 72 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 73 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 74 | Reward: 165 | Steps: 7 | Status: SUCCESS ✅
Episode 75 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 76 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 77 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 78 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 79 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 80 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 81 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 82 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 83 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 84 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 85 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 86 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 87 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 88 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 89 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 90 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 91 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 92 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 93 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 94 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 95 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 96 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 97 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 98 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 99 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 100 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 101 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 102 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 103 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 104 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 105 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 106 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 107 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 108 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 109 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 110 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 111 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 112 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 113 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 114 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 115 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 116 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 117 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 118 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 119 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 120 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 121 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 122 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 123 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 124 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 125 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 126 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 127 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 128 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 129 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 130 | Reward: 165 | Steps: 7 | Status: SUCCESS ✅
Episode 131 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 132 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 133 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 134 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 135 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 136 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
Episode 137 | Reward: 170 | Steps: 6 | Status: SUCCESS ✅
